reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.01,12043
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.025,12184
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.05,12306
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.1,12447
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.15,12542
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.2,12617
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.25,12682
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.3,12740
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.35,12793
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.4,12845
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.45,12894
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.5,12943
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.55,12991
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.6,13041
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.65,13092
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.7,13145
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.75,13203
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.8,13268
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.85,13343
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.9,13438
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.95,13579
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.975,13701
2026-02-21,wk inc flu hosp,1,2026-02-28,US,quantile,0.99,13842
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.01,11066
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.025,11267
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.05,11439
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.1,11638
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.15,11772
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.2,11879
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.25,11970
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.3,12052
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.35,12128
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.4,12200
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.45,12270
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.5,12339
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.55,12408
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.6,12478
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.65,12550
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.7,12626
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.75,12708
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.8,12800
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.85,12906
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.9,13040
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.95,13239
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.975,13411
2026-02-21,wk inc flu hosp,2,2026-03-07,US,quantile,0.99,13612
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.01,9295
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.025,9541
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.05,9752
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.1,9995
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.15,10159
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.2,10290
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.25,10402
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.3,10503
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.35,10596
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.4,10684
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.45,10770
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.5,10854
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.55,10938
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.6,11024
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.65,11112
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.7,11205
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.75,11306
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.8,11418
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.85,11548
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.9,11713
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.95,11956
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.975,12167
2026-02-21,wk inc flu hosp,3,2026-03-14,US,quantile,0.99,12413
