reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.01,1277
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.025,1426
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.05,1555
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.1,1703
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.15,1804
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.2,1883
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.25,1951
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.3,2013
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.35,2069
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.4,2123
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.45,2176
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.5,2227
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.55,2278
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.6,2330
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.65,2384
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.7,2441
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.75,2502
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.8,2571
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.85,2650
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.9,2750
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.95,2899
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.975,3027
2026-03-28,wk inc flu hosp,1,2026-04-04,US,quantile,0.99,3177
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.01,0
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.025,202
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.05,384
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.1,594
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.15,735
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.2,848
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.25,944
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.3,1031
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.35,1111
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.4,1188
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.45,1261
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.5,1334
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.55,1406
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.6,1480
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.65,1556
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.7,1637
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.75,1723
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.8,1820
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.85,1932
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.9,2074
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.95,2284
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.975,2466
2026-03-28,wk inc flu hosp,2,2026-04-11,US,quantile,0.99,2677
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.01,62
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.025,321
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.05,544
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.1,801
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.15,974
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.2,1112
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.25,1230
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.3,1336
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.35,1435
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.4,1528
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.45,1618
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.5,1707
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.55,1796
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.6,1886
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.65,1980
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.7,2078
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.75,2184
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.8,2303
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.85,2440
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.9,2614
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.95,2871
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.975,3094
2026-03-28,wk inc flu hosp,3,2026-04-18,US,quantile,0.99,3353
