"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.01","37093"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.025","37115"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.05","37135"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.1","37158"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.15","37173"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.2","37185"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.25","37196"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.3","37205"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.35","37214"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.4","37222"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.45","37230"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.5","37238"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.55","37246"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.6","37254"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.65","37262"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.7","37271"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.75","37280"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.8","37291"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.85","37303"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.9","37318"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.95","37341"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.975","37361"
"2025-12-27","wk inc flu hosp","1","2026-01-03","US","quantile","0.99","37384"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.01","37213"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.025","37245"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.05","37273"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.1","37305"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.15","37327"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.2","37344"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.25","37359"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.3","37372"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.35","37385"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.4","37396"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.45","37408"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.5","37419"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.55","37430"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.6","37441"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.65","37453"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.7","37465"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.75","37478"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.8","37493"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.85","37510"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.9","37532"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.95","37564"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.975","37592"
"2025-12-27","wk inc flu hosp","2","2026-01-10","US","quantile","0.99","37624"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.01","40648"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.025","40688"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.05","40722"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.1","40761"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.15","40788"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.2","40809"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.25","40827"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.3","40843"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.35","40858"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.4","40873"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.45","40887"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.5","40900"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.55","40914"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.6","40928"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.65","40942"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.7","40957"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.75","40973"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.8","40991"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.85","41012"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.9","41039"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.95","41078"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.975","41113"
"2025-12-27","wk inc flu hosp","3","2026-01-17","US","quantile","0.99","41152"
