reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.01,0
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.025,0
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.05,0
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.1,658
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.15,1343
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.2,1887
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.25,2354
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.3,2774
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.35,3162
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.4,3531
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.45,3888
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.5,4239
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.55,4590
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.6,4946
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.65,5315
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.7,5704
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.75,6123
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.8,6590
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.85,7134
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.9,7819
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.95,8834
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.975,9715
2025-11-22,wk inc flu hosp,1,2025-11-29,US,quantile,0.99,10738
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.01,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.025,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.05,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.1,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.15,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.2,0
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.25,625
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.3,1478
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.35,2268
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.4,3018
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.45,3743
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.5,4457
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.55,5170
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.6,5896
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.65,6645
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.7,7435
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.75,8288
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.8,9237
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.85,10344
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.9,11736
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.95,13800
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.975,15590
2025-11-22,wk inc flu hosp,2,2025-12-06,US,quantile,0.99,17671
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.01,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.025,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.05,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.1,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.15,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.2,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.25,0
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.3,185
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.35,1318
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.4,2393
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.45,3433
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.5,4457
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.55,5480
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.6,6521
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.65,7596
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.7,8729
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.75,9951
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.8,11313
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.85,12900
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.9,14897
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.95,17856
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.975,20423
2025-11-22,wk inc flu hosp,3,2025-12-13,US,quantile,0.99,23408
