reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.01,9754
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.025,10695
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.05,11504
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.1,12437
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.15,13067
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.2,13567
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.25,13996
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.3,14382
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.35,14739
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.4,15078
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.45,15406
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.5,15728
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.55,16051
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.6,16379
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.65,16718
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.7,17075
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.75,17460
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.8,17889
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.85,18390
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.9,19019
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.95,19952
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.975,20761
2026-01-24,wk inc flu hosp,1,2026-01-31,US,quantile,0.99,21702
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.01,7572
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.025,8688
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.05,9649
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.1,10756
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.15,11503
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.2,12096
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.25,12606
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.3,13063
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.35,13487
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.4,13889
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.45,14278
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.5,14661
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.55,15044
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.6,15433
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.65,15835
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.7,16259
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.75,16717
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.8,17226
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.85,17820
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.9,18567
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.95,19674
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.975,20634
2026-01-24,wk inc flu hosp,2,2026-02-07,US,quantile,0.99,21751
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.01,6189
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.025,7369
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.05,8385
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.1,9556
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.15,10346
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.2,10974
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.25,11512
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.3,11996
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.35,12444
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.4,12870
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.45,13281
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.5,13686
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.55,14091
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.6,14503
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.65,14928
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.7,15376
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.75,15860
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.8,16399
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.85,17026
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.9,17816
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.95,18987
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.975,20003
2026-01-24,wk inc flu hosp,3,2026-02-14,US,quantile,0.99,21184
