reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.01,273
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.025,853
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.05,2058
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.1,9117
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.15,12931
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.2,13961
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.25,16100
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.3,16533
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.35,16685
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.4,16851
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.45,17109
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.5,17152
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.55,17554
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.6,17946
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.65,18389
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.7,18819
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.75,19234
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.8,20583
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.85,20691
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.9,20710
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.95,21700
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.975,26411
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.99,39971
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.01,273
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.025,874
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.05,1714
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.1,8632
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.15,11577
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.2,14361
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.25,14542
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.3,15527
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.35,16491
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.4,16869
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.45,17313
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.5,18147
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.55,18904
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.6,19585
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.65,19872
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.7,20116
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.75,21387
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.8,21402
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.85,23721
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.9,25022
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.95,26312
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.975,31210
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.99,40718
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.01,275
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.025,275
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.05,1423
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.1,6839
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.15,8331
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.2,9221
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.25,10138
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.3,11594
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.35,12507
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.4,12702
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.45,12996
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.5,15109
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.55,16559
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.6,16647
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.65,17097
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.7,17330
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.75,17958
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.8,19370
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.85,20523
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.9,21205
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.95,25168
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.975,39839
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.99,41937
