reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.01,273
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.025,777
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.05,1555
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.1,6389
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.15,12741
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.2,12810
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.25,12865
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.3,14090
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.35,14744
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.4,15001
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.45,16190
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.5,16313
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.55,16639
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.6,16892
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.65,16943
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.7,16977
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.75,17596
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.8,18021
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.85,18049
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.9,18831
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.95,23050
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.975,24943
2026-02-07,wk inc flu hosp,1,2026-02-14,US,quantile,0.99,41321
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.01,275
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.025,841
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.05,1652
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.1,6280
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.15,9856
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.2,10203
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.25,10961
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.3,11308
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.35,11786
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.4,11940
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.45,12324
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.5,12486
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.55,12677
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.6,12881
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.65,14578
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.7,14642
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.75,17571
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.8,18899
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.85,19301
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.9,19769
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.95,20382
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.975,22982
2026-02-07,wk inc flu hosp,2,2026-02-21,US,quantile,0.99,39219
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.01,275
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.025,790
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.05,1440
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.1,6143
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.15,7343
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.2,7370
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.25,8444
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.3,9026
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.35,9028
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.4,9415
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.45,10629
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.5,10982
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.55,11083
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.6,11521
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.65,11748
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.7,12146
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.75,12941
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.8,13150
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.85,14951
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.9,20161
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.95,24451
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.975,26461
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.99,35090
