reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.01,15217.386541142332
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.025,15917.549681159411
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.05,16519.728608081503
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.1,17214.00234494232
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.15,17682.42553913036
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.2,18054.71344455357
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.25,18374.103318263024
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.3,18660.92529601314
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.35,18926.70860341823
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.4,19178.91097113936
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.45,19422.919680623778
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.5,19663.059724206767
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.55,19903.199767789756
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.6,20147.208477274173
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.65,20399.410844995306
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.7,20665.194152400392
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.75,20952.01613015051
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.8,21271.406003859967
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.85,21643.693909283174
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.9,22112.117103471213
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.95,22806.39084033203
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.975,23408.56976725412
2026-01-17,wk inc flu hosp,1,US,2026-01-24,quantile,0.99,24108.732907271202
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.01,14015.84607278033
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.025,15522.205051449964
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.05,16817.75687571853
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.1,18311.445156922968
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.15,19319.229548950585
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.2,20120.18463631877
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.25,20807.332782887384
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.3,21424.413055712273
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.35,21996.22989182907
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.4,22538.828151213587
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.45,23063.798246606606
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.5,23580.44513947293
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.55,24097.092032339253
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.6,24622.06212773227
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.65,25164.66038711679
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.7,25736.477223233585
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.75,26353.557496058474
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.8,27040.70564262709
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.85,27841.660729995274
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.9,28849.44512202289
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.95,30343.133403227323
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.975,31638.685227495895
2026-01-17,wk inc flu hosp,2,US,2026-01-31,quantile,0.99,33145.04420616553
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.01,9612.44495509833
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.025,11765.115688573924
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.05,13616.531277616934
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.1,15751.094879929056
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.15,17191.274808545615
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.2,18335.88416117724
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.25,19317.857067785888
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.3,20199.699087069
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.35,21016.85713866727
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.4,21792.26021957394
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.45,22542.471674017885
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.5,23280.78880928445
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.55,24019.105944551018
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.6,24769.317398994965
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.65,25544.720479901633
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.7,26361.878531499904
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.75,27243.720550783015
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.8,28225.693457391666
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.85,29370.302810023288
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.9,30810.482738639847
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.95,32945.046340951965
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.975,34796.46192999498
2026-01-17,wk inc flu hosp,3,US,2026-02-07,quantile,0.99,36949.13266347058
